municipality,state,supplier,long,lat
Alto Paraiso De Goias,Goias,RSC,-47.53503772,-14.182979
Cavalcante,Goias,RSC,-47.69610637,-13.63483414
Colinas Do Sul,Goias,RSC,-48.0751276,-13.98491512
Minacu,Goias,RSC,-48.34883188,-13.49910784
Nova Roma,Goias,RSC,-47.01075126,-13.80060515
Teresina De Goias,Goias,RSC,-47.23753839,-13.68240294
Berizal,Minas Gerais,RDS,-41.76177286,-15.6841129
Montezuma,Minas Gerais,RDS,-42.46950384,-15.19126449
Rio Pardo De Minas,Minas Gerais,RDS,-42.55130263,-15.70886514
Taiobeiras,Minas Gerais,RDS,-42.05603136,-15.82451771
Vargem Grande Do Rio Pardo,Minas Gerais,RDS,-42.29891709,-15.34071607
Altamira,Para,RSX,-53.88526356,-6.481083979
Agua Boa,Mato Grosso,RSX,-52.50035535,-13.97768503
Bom Jesus Do Araguaia,Mato Grosso,RSX,-51.73961317,-12.21782322
Canabrava Do Norte,Mato Grosso,RSX,-51.82360578,-11.20158473
Canarana,Mato Grosso,RSX,-52.39930011,-13.32992514
Claudia,Mato Grosso,RSX,-55.0477153,-11.44814074
Confresa,Mato Grosso,RSX,-51.69860128,-10.40419775
Diamantino,Mato Grosso,RSX,-56.80503644,-14.09601894
Feliz Natal,Mato Grosso,RSX,-54.18326992,-11.93276047
Guaranta Do Norte,Mato Grosso,RSX,-54.62106729,-9.776326752
Marcelandia,Mato Grosso,RSX,-54.05324038,-10.88634417
Nova Xavantina,Mato Grosso,RSX,-52.3802024,-14.63454855
Porto Alegre Do Norte,Mato Grosso,RSX,-51.71372724,-10.82630332
Querencia,Mato Grosso,RSX,-52.74426224,-12.15835764
Sao Jose Do Xingu,Mato Grosso,RSX,-52.61688835,-10.69640213
Santa Cruz Do Xingu,Mato Grosso,RSX,-52.54143126,-10.06447375
Sao Felix Do Araguaia,Mato Grosso,RSX,-51.97052293,-11.45543052
Serra Nova Dourada,Mato Grosso,RSX,-51.36210558,-12.02297925
Arraias,Tocantins,VN,-47.04765564,-12.8170917
Montes Claros,Minas Gerais,VN,-43.92876318,-16.62032554
Mambai,Goias,VN,-46.06677873,-14.41939181
Brasilia,Distrito Federal,VN,-47.79684133,-15.7814442
